epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2441.17,1.07605,2.18897,1.39588,0.7033,0.30892,0.33945,0.22793,1.09992,2.30341,1.52048,0.000475261,0.000475261,0.000475261
2,4601.68,1.17002,1.63083,1.45146,0.65086,0.35396,0.3444,0.22134,1.22038,1.83856,1.62385,0.000920191,0.000920191,0.000920191
3,6715.94,1.17622,1.46846,1.46173,0.66762,0.41966,0.37558,0.24063,1.18565,1.64779,1.60222,0.00133368,0.00133368,0.00133368
4,8837.34,1.13368,1.36017,1.42753,0.67071,0.37329,0.39493,0.27215,1.09423,1.48836,1.49363,0.00128753,0.00128753,0.00128753
5,10952.9,1.0662,1.22922,1.38269,0.83379,0.44298,0.5224,0.37797,0.99531,1.06451,1.38154,0.00124037,0.00124037,0.00124037
6,13000.8,1.01749,1.16458,1.34383,0.81585,0.44958,0.5098,0.36128,1.01952,1.14561,1.40204,0.00119322,0.00119322,0.00119322
7,15046.3,0.96786,1.07657,1.30462,0.85255,0.48112,0.5602,0.42044,0.88849,0.94468,1.30354,0.00114606,0.00114606,0.00114606
8,17092.5,0.92834,0.99827,1.27729,0.89272,0.48195,0.57345,0.4298,0.87918,0.89517,1.31179,0.0010989,0.0010989,0.0010989
9,19156.6,0.90819,0.95625,1.26222,0.81605,0.48574,0.55349,0.4295,0.79378,0.96245,1.22324,0.00105174,0.00105174,0.00105174
10,21228.7,0.88254,0.92746,1.24376,0.86743,0.53423,0.59235,0.46743,0.78995,0.76982,1.21679,0.00100459,0.00100459,0.00100459
11,23270.2,0.85049,0.8724,1.22465,0.91174,0.53659,0.61597,0.49714,0.71674,0.69538,1.15613,0.00095743,0.00095743,0.00095743
12,25311,0.8281,0.83779,1.21399,0.89852,0.5435,0.61961,0.50131,0.68433,0.69789,1.12339,0.000910273,0.000910273,0.000910273
13,27349.4,0.8137,0.79129,1.19278,0.51902,0.59905,0.61228,0.49928,0.68769,0.72581,1.12289,0.000863116,0.000863116,0.000863116
14,29388.3,0.79163,0.76149,1.18086,0.93683,0.57184,0.65754,0.53543,0.67908,0.58291,1.11823,0.000815959,0.000815959,0.000815959
15,31415,0.76922,0.72183,1.16762,0.60212,0.65345,0.65562,0.54049,0.64937,0.55782,1.08542,0.000768802,0.000768802,0.000768802
16,33438.4,0.74533,0.70013,1.15193,0.63859,0.67917,0.66965,0.55636,0.6265,0.53869,1.08252,0.000721645,0.000721645,0.000721645
17,35464.7,0.7349,0.66493,1.14266,0.66055,0.66887,0.68995,0.57983,0.59621,0.52,1.05261,0.000674488,0.000674488,0.000674488
18,37488.1,0.71236,0.64907,1.13242,0.75495,0.63856,0.69729,0.58946,0.58683,0.51716,1.03944,0.000627331,0.000627331,0.000627331
19,39510.5,0.68482,0.62437,1.11516,0.72138,0.76213,0.75004,0.62718,0.56365,0.45942,1.0204,0.000580174,0.000580174,0.000580174
20,41534.7,0.67498,0.59755,1.10932,0.7927,0.71459,0.746,0.62372,0.55444,0.44461,1.01552,0.000533017,0.000533017,0.000533017
21,43624.1,0.50562,0.38571,0.99959,0.82785,0.74818,0.7964,0.659,0.53932,0.419,1.00084,0.00048586,0.00048586,0.00048586
22,47317.3,0.47143,0.35236,0.97003,0.81625,0.73349,0.80165,0.67159,0.50481,0.3938,0.97223,0.000438703,0.000438703,0.000438703
23,49466.5,0.44725,0.32948,0.95352,0.84914,0.79645,0.84529,0.7058,0.48985,0.37659,0.96078,0.000391546,0.000391546,0.000391546
24,51539.6,0.42417,0.30375,0.93626,0.84692,0.78815,0.84971,0.71731,0.47014,0.34258,0.93796,0.000344389,0.000344389,0.000344389
25,53655.5,0.40492,0.28201,0.9268,0.91134,0.82218,0.87884,0.74468,0.43877,0.33177,0.92398,0.000297232,0.000297232,0.000297232
26,55856.5,0.38219,0.26665,0.91131,0.94564,0.87108,0.90089,0.77032,0.42431,0.31138,0.91238,0.000250075,0.000250075,0.000250075
27,58060.4,0.36291,0.2484,0.89503,0.9592,0.86483,0.91594,0.77722,0.41956,0.30691,0.90978,0.000202918,0.000202918,0.000202918
28,60149.9,0.35133,0.24221,0.89454,0.94452,0.86292,0.91725,0.78667,0.40074,0.29677,0.89836,0.000155761,0.000155761,0.000155761
29,62224,0.33743,0.23022,0.88771,0.90339,0.90395,0.91771,0.79509,0.38718,0.28362,0.89243,0.000108604,0.000108604,0.000108604
30,64374.8,0.31964,0.21607,0.87303,0.97126,0.84066,0.91217,0.79657,0.37616,0.27597,0.88195,6.1447e-05,6.1447e-05,6.1447e-05
